CampaignID,GoalAmount,RaisedAmount,DurationDays,NumBackers,Category,LaunchMonth,Country,Currency,OwnerExperience,VideoIncluded,SocialMediaPresence,NumUpdates,IsSuccessful
CID_00043,82018,78344.04656,80,1584,Games,November,Germany,EUR,1,No,47318,44,0
CID_00044,41706,45601.95892,15,1025,Film,December,UK,AUD,19,No,36807,14,1
CID_00045,76456,52882.64536,63,57,Film,May,USA,AUD,19,No,27232,31,0
CID_00046,29698,43698.07427,25,1745,Film,November,Australia,CAD,19,No,97147,31,1
CID_00047,32378,16872.3616,26,1241,Film,June,Germany,CAD,9,No,46049,7,0
CID_00048,95828,61765.31211,70,466,Technology,December,USA,EUR,7,No,41248,1,0
CID_00049,83339,52159.93796,43,218,Film,May,Canada,USD,10,Yes,77784,18,0
CID_00050,95442,116507.3737,32,989,Film,April,UK,AUD,7,Yes,14847,31,1
CID_00051,92268,137709.1168,42,403,Games,June,Australia,AUD,14,No,43293,4,1
CID_00052,30585,32071.29519,16,762,Games,October,Germany,EUR,8,Yes,50917,41,1
CID_00053,51479,45953.77299,24,1514,Film,April,Canada,GBP,11,Yes,50704,31,0
CID_00054,20245,15351.63136,54,1616,Music,August,USA,EUR,18,No,40223,26,0
CID_00055,89607,98023.80174,86,1450,Music,July,Australia,USD,4,No,56870,10,1
CID_00056,31255,35854.80014,40,175,Technology,September,Canada,EUR,17,No,50743,22,1
CID_00057,60929,68705.00225,76,1012,Music,July,Australia,GBP,18,Yes,65573,47,1
CID_00058,63697,77525.36426,52,1041,Film,February,Germany,EUR,11,Yes,36243,23,1
CID_00059,3946,2860.347608,41,633,Art,September,Australia,AUD,18,No,78849,48,0
CID_00060,58245,67999.61972,59,712,Games,December,USA,AUD,12,Yes,94812,36,1
CID_00061,36231,51124.18998,81,1979,Art,April,UK,USD,12,No,33274,44,1
CID_00062,73300,100886.5801,31,1899,Film,October,USA,CAD,4,Yes,29558,9,1
CID_00063,17202,13667.64916,57,1239,Games,June,UK,EUR,4,No,45512,23,0
CID_00064,41734,54368.82697,25,1945,Art,August,Canada,AUD,13,No,45154,25,1
CID_00065,31363,19668.99698,24,1191,Film,April,UK,GBP,15,No,96451,47,0
CID_00066,67191,82917.18628,18,1271,Art,July,Canada,CAD,4,No,34909,0,1
CID_00067,81570,69850.32629,17,835,Games,December,UK,USD,7,No,77183,7,0
CID_00068,37336,38439.84732,65,655,Games,November,UK,USD,9,Yes,7803,43,1
CID_00069,80211,112753.5229,59,1168,Film,June,Germany,AUD,6,Yes,92820,31,1
CID_00070,81749,117270.6281,52,1252,Art,February,Canada,CAD,9,No,13850,30,1
CID_00071,89104,130034.9407,86,874,Games,May,USA,EUR,8,No,45283,47,1
CID_00072,54357,53170.09783,69,1478,Music,November,Australia,CAD,2,No,15395,9,0
CID_00073,23424,27152.11386,29,1778,Games,September,Canada,USD,0,Yes,94494,48,1
CID_00074,87110,99618.97364,30,1007,Games,August,Canada,CAD,3,No,14639,47,1
CID_00075,86716,102124.3548,66,726,Film,July,UK,USD,6,Yes,43399,29,1
CID_00076,43625,31518.69675,30,1862,Music,February,Canada,CAD,16,Yes,3335,13,0
CID_00077,95828,71210.36161,58,885,Art,July,USA,USD,15,Yes,42532,31,0
CID_00078,47633,45439.39559,49,717,Art,October,Canada,USD,8,Yes,10445,44,0
CID_00079,61383,86349.44167,85,1940,Games,July,Canada,USD,18,Yes,57018,13,1
CID_00080,81844,98227.36496,67,391,Games,September,USA,GBP,5,Yes,70043,0,1
CID_00081,2387,3072.358189,51,1926,Music,April,Germany,USD,1,No,30675,42,1
CID_00082,29150,39409.31111,66,1752,Music,March,UK,AUD,8,Yes,57859,28,1
CID_00083,61577,39171.81576,72,1663,Technology,March,UK,GBP,13,Yes,48046,39,0
CID_00084,78839,61928.01525,84,1842,Technology,May,Australia,USD,8,Yes,7601,6,0
CID_00085,69956,74233.25559,34,462,Games,June,USA,GBP,10,Yes,85292,35,1
CID_00086,16590,22449.29288,63,1884,Film,July,Australia,AUD,15,No,14561,47,1
CID_00087,56133,33139.85454,84,100,Technology,September,Australia,USD,1,Yes,41116,37,0
CID_00088,6073,3866.602441,46,103,Games,April,Germany,GBP,18,Yes,51035,49,0
CID_00089,46827,33342.03877,62,1293,Film,February,USA,CAD,2,No,35123,24,0
CID_00090,39174,42820.72355,88,1550,Music,January,USA,CAD,12,Yes,97256,47,1
CID_00091,31505,44126.08057,62,86,Games,September,Canada,USD,7,No,66038,19,1
CID_00092,87320,120909.4669,29,1543,Film,May,Germany,USD,12,Yes,47226,35,1
CID_00093,27170,31122.77538,20,1584,Games,January,Australia,GBP,13,No,45833,19,1
CID_00094,97607,106457.3696,49,122,Games,June,Germany,USD,15,No,14687,24,1
CID_00095,98814,110654.5471,42,1048,Technology,May,UK,EUR,4,No,29115,49,1
CID_00096,24776,17301.20345,31,1156,Games,February,UK,GBP,10,Yes,54474,31,0
CID_00097,19242,10878.88812,51,1913,Music,January,USA,EUR,4,No,2351,41,0
CID_00098,10554,7523.777549,54,1220,Art,September,Canada,AUD,14,No,73112,19,0
CID_00099,48235,54536.14601,73,1578,Film,November,Germany,CAD,11,No,65612,39,1
CID_00100,1581,982.2076244,41,556,Art,June,Australia,CAD,17,No,78287,25,0
CID_00101,51531,45898.17991,39,1982,Technology,August,Canada,EUR,0,Yes,27599,35,0
CID_00102,38416,39827.90804,48,1543,Technology,July,Germany,GBP,12,Yes,79285,27,1
CID_00103,52341,69787.62964,32,1309,Music,November,Australia,GBP,15,No,61952,36,1
CID_00104,33414,24989.9353,30,1231,Technology,January,Canada,AUD,18,Yes,3492,33,0
CID_00105,50989,60973.10225,63,470,Art,May,Germany,EUR,11,No,36301,22,1
CID_00106,19290,20523.66854,40,285,Games,October,Canada,EUR,12,No,62631,7,1
CID_00107,8441,8120.342474,57,1598,Games,September,Australia,AUD,4,Yes,52398,13,0
CID_00108,94586,129485.9794,84,219,Film,September,UK,AUD,6,Yes,17284,14,1
CID_00109,95207,57187.68809,44,1302,Music,February,USA,USD,7,Yes,85908,10,0
CID_00110,40405,27116.31534,48,1148,Film,April,Canada,AUD,3,Yes,81206,48,0
CID_00111,16174,20144.93851,52,915,Film,August,USA,CAD,14,Yes,14824,22,1
CID_00112,31661,45808.49634,58,1295,Art,September,Germany,GBP,9,Yes,28278,48,1
CID_00113,71858,95976.07219,32,638,Film,December,Germany,EUR,9,No,48836,43,1
CID_00114,4673,3306.949764,32,418,Technology,May,UK,EUR,9,Yes,45950,3,0
CID_00115,41782,33751.74136,20,478,Technology,January,USA,USD,15,Yes,92780,20,0
CID_00116,45829,35537.54169,30,958,Games,September,Germany,USD,0,Yes,79464,16,0
CID_00117,85048,71816.44735,80,713,Games,January,USA,CAD,18,No,458,38,0
CID_00118,10964,10271.46157,48,955,Technology,June,Canada,EUR,9,Yes,20705,7,0
CID_00119,25669,25858.12118,52,1023,Film,August,Canada,CAD,17,Yes,37387,21,1
CID_00120,31667,43284.42332,69,202,Technology,June,UK,GBP,16,Yes,20643,47,1
CID_00121,73451,108987.9369,37,1628,Art,September,USA,CAD,8,Yes,58555,48,1
CID_00122,70833,55597.30118,22,291,Art,November,Canada,USD,11,No,79500,14,0
CID_00123,43872,57530.63157,60,1147,Film,March,USA,AUD,6,Yes,87493,45,1
CID_00124,26517,28514.94506,88,1597,Music,October,Germany,EUR,7,Yes,28374,36,1
CID_00125,90221,59370.8526,50,1823,Technology,September,Australia,CAD,17,No,67761,25,0
CID_00126,60425,81235.34052,71,702,Music,October,Australia,EUR,13,No,23489,10,1
CID_00127,11070,16258.50279,80,193,Film,October,Canada,EUR,2,No,15172,0,1
CID_00128,81156,98499.41475,75,806,Music,January,Australia,EUR,4,Yes,2903,14,1
CID_00129,63661,54602.22483,73,289,Film,January,Australia,CAD,0,Yes,47397,36,0
CID_00130,19513,21190.00408,72,155,Music,February,UK,GBP,13,Yes,83240,30,1
CID_00131,82445,82497.34836,50,515,Music,October,USA,AUD,5,No,97772,20,1
CID_00132,22260,12731.39747,28,1464,Games,October,USA,EUR,9,No,28277,41,0
CID_00133,86377,98751.89781,61,183,Technology,May,Germany,GBP,14,No,89196,14,1
CID_00134,35846,49134.44381,62,1549,Games,February,Canada,AUD,19,Yes,81535,24,1
CID_00135,16891,18716.61215,79,1352,Film,December,Canada,EUR,18,Yes,25208,23,1
CID_00136,69898,74686.3255,75,372,Film,April,Germany,AUD,16,Yes,27821,24,1
CID_00137,2222,1606.217108,78,1909,Art,June,UK,CAD,19,No,94813,11,0
CID_00138,11178,5598.175695,26,253,Art,April,Australia,USD,11,Yes,50896,10,0
CID_00139,79642,47114.97963,31,817,Technology,January,USA,GBP,13,No,43999,39,0
CID_00140,34617,30534.76107,87,1194,Film,December,Australia,AUD,1,No,58459,8,0
CID_00141,52840,60905.0727,35,1375,Music,March,Canada,AUD,1,No,87678,1,1
CID_00142,80203,116313.3456,57,1382,Art,February,Australia,AUD,19,Yes,25009,17,1
CID_00143,69470,76608.86362,87,368,Art,January,Germany,EUR,10,No,64805,14,1
CID_00144,54320,41547.09652,60,411,Technology,December,UK,GBP,5,No,93189,27,0
CID_00145,47693,40439.22752,49,559,Film,March,USA,EUR,13,Yes,48855,40,0
CID_00146,28155,38153.71861,47,552,Technology,September,UK,AUD,18,Yes,90269,33,1
CID_00147,8047,9088.919346,23,129,Games,January,Canada,USD,2,Yes,71151,26,1
CID_00148,58257,81123.07018,67,1641,Games,April,Germany,GBP,4,No,54948,29,1
CID_00149,27128,13817.22402,39,961,Art,April,UK,GBP,19,No,93975,49,0
CID_00150,32222,18894.39698,69,1748,Music,February,USA,USD,16,No,45881,29,0
CID_00151,50582,35362.18035,45,1585,Music,March,Canada,EUR,6,No,3518,3,0
CID_00152,16530,14779.25433,82,125,Film,September,UK,EUR,14,No,31374,19,0
CID_00153,99354,115774.2563,15,1887,Technology,November,Canada,USD,19,Yes,6600,19,1
CID_00154,22173,27314.63412,48,1737,Music,January,Germany,USD,2,No,1343,15,1
CID_00155,42975,31725.58891,43,181,Film,November,UK,EUR,10,Yes,75621,45,0
CID_00156,17006,17737.56509,64,991,Music,November,Canada,EUR,15,No,89751,14,1
CID_00157,23767,22782.28431,27,1402,Art,July,USA,GBP,1,No,46322,20,0
CID_00158,84474,118713.1691,36,143,Film,June,Germany,CAD,19,No,43978,27,1
CID_00159,11576,6357.484298,32,1624,Art,December,UK,GBP,18,Yes,97879,12,0
CID_00160,88225,98316.23823,75,418,Games,February,Australia,CAD,8,Yes,25748,46,1
CID_00161,65212,92903.06229,55,1923,Film,January,Canada,EUR,13,Yes,3510,44,1
CID_00162,52972,69562.19387,65,1377,Music,August,Canada,AUD,3,Yes,71359,0,1
CID_00163,68088,97731.65331,48,582,Art,March,Canada,AUD,15,Yes,66411,0,1
CID_00164,44666,30348.84063,75,1010,Music,December,UK,CAD,11,Yes,12927,43,0
CID_00165,51195,30693.05174,20,375,Film,November,Germany,AUD,7,Yes,27092,30,0
CID_00166,95763,123620.1903,16,355,Technology,December,UK,CAD,8,Yes,27214,32,1
CID_00167,79193,58653.61665,19,747,Music,July,USA,GBP,14,No,59161,32,0
CID_00168,17960,21225.08972,55,1805,Technology,August,Canada,USD,10,No,11566,18,1
CID_00169,46960,31845.40593,74,419,Technology,September,UK,GBP,8,No,22490,11,0
CID_00170,60750,68141.98196,33,653,Games,July,Australia,GBP,14,No,10390,22,1
CID_00171,44423,39158.04076,72,1888,Games,February,Canada,USD,2,No,89717,3,0
CID_00172,82051,106266.1169,42,397,Art,July,USA,GBP,0,No,8815,36,1
CID_00173,81259,120708.5804,53,835,Music,January,UK,AUD,2,Yes,72465,49,1
CID_00174,81965,67533.16913,22,582,Art,April,UK,USD,9,Yes,49853,16,0
CID_00175,48560,28250.01406,75,1042,Music,April,UK,EUR,4,Yes,79894,31,0
CID_00176,78854,105300.6881,57,972,Technology,May,Australia,EUR,2,Yes,56565,49,1
CID_00177,67711,37933.33439,52,594,Technology,January,Germany,CAD,5,Yes,30168,34,0
CID_00178,3931,3333.788109,88,1706,Art,October,UK,CAD,13,Yes,80316,49,0
CID_00179,23150,17096.52356,85,133,Art,October,USA,GBP,6,Yes,66936,33,0
CID_00180,6703,5274.161485,34,356,Technology,April,UK,GBP,14,No,12452,1,0
CID_00181,15558,8759.863224,57,769,Art,August,Australia,CAD,16,No,24089,8,0
CID_00182,25853,16428.95673,78,684,Music,November,USA,EUR,19,Yes,8169,35,0
CID_00183,3605,3030.698373,37,1443,Games,May,Australia,USD,8,Yes,2948,16,0
CID_00184,4158,4224.408022,44,983,Games,February,Canada,CAD,7,No,84414,17,1
CID_00185,91927,97884.17327,44,996,Film,September,Australia,GBP,16,Yes,54074,27,1
CID_00186,47619,50814.53383,77,1809,Games,March,Australia,USD,19,No,8052,39,1
CID_00187,17989,19351.86292,83,139,Art,November,Australia,AUD,10,Yes,90700,46,1
CID_00188,22018,11919.50309,44,986,Film,July,Australia,EUR,19,No,81478,46,0
CID_00189,77714,92852.19227,32,1507,Film,December,UK,CAD,15,No,45916,30,1
CID_00190,49001,43287.73817,71,1803,Art,March,USA,EUR,19,Yes,70166,49,0
CID_00191,81108,40803.41815,66,1813,Music,December,UK,EUR,4,Yes,30642,1,0
CID_00192,79486,46902.72061,48,285,Art,February,UK,AUD,6,No,58888,29,0
CID_00193,51375,29854.44628,35,1898,Music,July,Canada,CAD,14,No,84206,40,0
CID_00194,85378,59470.32933,19,682,Technology,December,Germany,AUD,15,No,65833,17,0
CID_00195,60175,80217.35346,80,1875,Art,November,Australia,GBP,11,Yes,48328,4,1
CID_00196,51345,34140.39907,42,1137,Art,March,Canada,GBP,12,No,33105,27,0
CID_00197,34391,31096.60788,47,884,Music,February,Canada,USD,5,Yes,69739,36,0
CID_00198,26537,31681.61424,49,1186,Games,July,Australia,CAD,14,Yes,16750,6,1
CID_00199,46890,51859.25333,57,654,Film,June,Canada,CAD,5,Yes,68905,6,1
CID_00200,49050,40872.01802,70,74,Art,May,Australia,CAD,14,Yes,26141,44,0
CID_00201,82253,67560.7413,65,1965,Film,March,UK,AUD,1,Yes,24927,9,0
CID_00202,9059,4924.373538,63,627,Film,May,Germany,EUR,7,Yes,14945,18,0
CID_00203,82809,79738.17782,72,471,Film,December,Australia,USD,18,No,97028,34,0
CID_00204,92087,109940.5004,68,1566,Film,March,UK,GBP,7,Yes,37272,28,1
CID_00205,67266,40083.70275,88,634,Art,November,UK,AUD,8,No,22763,32,0
CID_00206,2813,3378.263546,77,766,Film,March,UK,EUR,10,No,79642,9,1
CID_00207,99180,104556.8975,71,400,Art,May,Germany,USD,8,No,24873,31,1
CID_00208,5320,4958.342083,69,358,Games,August,Germany,AUD,3,Yes,81100,9,0
CID_00209,48763,69565.70977,17,373,Technology,August,Canada,CAD,10,No,54039,29,1
CID_00210,72886,40433.09747,62,1945,Games,May,USA,USD,17,No,86902,33,0
CID_00211,4559,6626.134736,34,1349,Technology,April,UK,AUD,11,No,2737,26,1
CID_00212,82701,64110.99963,69,1130,Technology,October,Canada,AUD,18,Yes,70007,22,0
CID_00213,31866,40154.66768,82,154,Film,September,Canada,EUR,7,No,39941,11,1
CID_00214,72321,88105.08955,27,1849,Art,January,Canada,CAD,3,No,32245,10,1
CID_00215,74148,79299.93893,17,362,Music,January,USA,EUR,17,Yes,20975,48,1
CID_00216,84014,85639.43224,27,1355,Games,December,Canada,AUD,15,Yes,58084,47,1
CID_00217,8531,6867.291382,30,1796,Technology,March,UK,GBP,10,No,21398,36,0
CID_00218,47321,58505.64585,50,913,Music,November,Australia,EUR,9,No,48181,15,1
CID_00219,82025,78522.37924,35,268,Music,October,USA,GBP,12,Yes,63814,36,0
CID_00220,74362,90052.67167,35,488,Film,October,USA,AUD,1,No,10877,33,1
CID_00221,44266,65104.35059,16,626,Games,July,Canada,GBP,12,No,95827,25,1
CID_00222,78515,108517.5201,64,1195,Technology,September,Australia,USD,0,No,68167,31,1
CID_00223,26676,26736.1679,19,863,Games,December,Germany,EUR,7,Yes,79412,39,1
CID_00224,57863,36785.10016,54,1321,Music,September,Canada,GBP,4,No,86915,48,0
CID_00225,43992,26400.13773,75,1754,Film,February,USA,CAD,7,No,52580,10,0
CID_00226,87369,118798.6595,85,859,Games,September,Australia,EUR,3,No,95406,30,1
CID_00227,50424,41356.82766,83,62,Games,January,Canada,GBP,3,Yes,37338,24,0
CID_00228,95273,129045.5914,58,453,Technology,December,USA,CAD,7,No,66529,23,1
CID_00229,2177,2266.037845,29,40,Technology,March,Australia,USD,9,Yes,53648,38,1
CID_00230,70169,96457.1979,47,758,Technology,July,USA,USD,6,Yes,25075,34,1
CID_00231,91458,54861.31418,43,924,Music,September,UK,EUR,14,No,43532,6,0
CID_00232,97745,78916.63782,45,451,Games,December,UK,GBP,9,Yes,81753,19,0
CID_00233,30889,44854.56884,16,633,Games,July,Australia,EUR,12,Yes,55144,45,1
CID_00234,31939,46288.02006,80,461,Art,October,Germany,AUD,13,Yes,21850,10,1
CID_00235,86486,117251.8881,64,1279,Games,March,Australia,EUR,14,No,1075,24,1
CID_00236,15036,12087.92853,66,783,Film,June,USA,EUR,13,No,52305,8,0
CID_00237,16085,11784.04912,66,663,Art,April,UK,AUD,13,No,33121,15,0
CID_00238,18529,23070.37515,69,673,Games,December,UK,CAD,12,Yes,46971,35,1
CID_00239,57702,63527.36508,42,1264,Games,October,USA,EUR,2,Yes,75748,25,1
CID_00240,94661,66422.85583,51,1862,Music,February,UK,USD,7,No,27231,25,0
CID_00241,27053,34272.47796,34,178,Music,June,Canada,EUR,0,No,28845,14,1
CID_00242,92185,102036.9638,57,1070,Art,August,Germany,GBP,1,No,85528,3,1
CID_00243,78351,106801.7945,29,24,Music,August,Germany,EUR,17,Yes,4876,20,1
CID_00244,45144,63420.67446,81,1134,Art,October,Australia,EUR,13,No,58272,45,1
CID_00245,73814,61229.87432,15,1641,Art,February,USA,CAD,7,Yes,25956,14,0
CID_00246,3832,2188.181806,78,950,Art,May,Germany,EUR,17,No,68694,45,0
CID_00247,79574,85883.60077,34,797,Art,September,UK,GBP,19,No,47003,11,1
CID_00248,81144,75276.78761,53,226,Games,November,USA,USD,1,No,37168,29,0
CID_00249,92766,83741.75894,78,105,Technology,December,Canada,EUR,1,Yes,94616,4,0
CID_00250,83720,109796.2683,27,1905,Music,June,Australia,GBP,15,No,41886,27,1
CID_00251,68627,46585.92229,17,1679,Art,April,UK,CAD,7,Yes,45838,19,0
CID_00252,79466,106728.2899,16,130,Film,May,USA,USD,7,No,48041,3,1
CID_00253,63778,91306.18054,35,1098,Film,January,Germany,AUD,14,Yes,28042,9,1
CID_00254,61660,85978.07925,68,1830,Games,March,Australia,EUR,15,Yes,50811,26,1
CID_00255,83393,88760.94808,57,318,Film,November,USA,AUD,8,Yes,34132,38,1
CID_00256,89021,72431.25245,59,388,Music,January,UK,AUD,9,Yes,37163,2,0
CID_00257,86699,94931.96718,82,1287,Technology,March,Australia,EUR,7,Yes,11882,49,1
CID_00258,23306,19001.50686,79,41,Games,August,Australia,CAD,6,No,25940,30,0
CID_00259,26105,34846.51487,70,1702,Art,April,Germany,GBP,3,Yes,12155,31,1
CID_00260,1147,1608.890103,27,1774,Film,October,Germany,GBP,11,Yes,73121,41,1
CID_00261,11250,16844.6537,41,1758,Film,June,USA,EUR,10,Yes,49234,14,1
CID_00262,94215,118766.5819,80,580,Technology,September,Australia,GBP,15,No,77478,42,1
CID_00263,35037,37643.53086,74,358,Music,April,UK,EUR,13,Yes,93131,14,1
CID_00264,48181,32447.52636,44,1198,Art,January,Australia,USD,13,Yes,27377,13,0
CID_00265,66432,92296.73895,55,563,Film,August,Australia,EUR,8,No,69678,16,1
CID_00266,24772,33087.6615,40,1359,Music,February,Australia,GBP,1,Yes,17713,18,1
CID_00267,74441,100633.9753,15,1613,Film,April,Australia,AUD,10,No,43842,18,1
CID_00268,82732,64145.3435,51,894,Games,November,Australia,GBP,11,Yes,74803,32,0
CID_00269,77870,66624.55001,85,861,Art,November,UK,USD,11,No,9415,12,0
CID_00270,80743,66663.61286,77,557,Technology,January,Canada,AUD,15,No,42517,37,0
CID_00271,20268,16155.69467,74,417,Film,May,UK,AUD,9,No,59192,24,0
CID_00272,52739,72597.75588,87,1366,Technology,February,Germany,USD,7,Yes,45994,34,1
CID_00273,34461,18718.61272,84,946,Technology,December,UK,GBP,19,No,5248,27,0
CID_00274,10346,10328.13085,79,743,Film,December,Germany,AUD,11,Yes,82870,26,0
CID_00275,48163,55406.05363,84,1489,Technology,August,Germany,CAD,19,No,63078,12,1
CID_00276,97116,96575.1157,34,1934,Games,June,Australia,CAD,1,Yes,84614,45,0
CID_00277,25955,31225.27907,19,955,Games,January,UK,CAD,19,No,57791,41,1
CID_00278,79257,117677.5366,58,609,Games,January,Germany,AUD,2,No,70439,10,1
CID_00279,6055,3320.699571,49,662,Games,June,Canada,CAD,2,No,2235,18,0
CID_00280,48897,60413.31253,34,1186,Art,November,UK,GBP,6,No,21420,42,1
CID_00281,56285,28759.98827,77,1689,Music,April,Canada,CAD,4,No,53800,23,0
CID_00282,60800,62541.81569,78,1416,Music,November,Germany,AUD,8,Yes,3312,29,1
CID_00283,30393,25458.57223,46,1690,Technology,January,UK,EUR,19,Yes,54114,7,0
CID_00284,66304,98807.63676,40,669,Music,June,USA,EUR,5,No,37537,20,1
CID_00285,37871,42051.26538,19,1804,Music,October,Canada,AUD,13,No,90091,24,1
CID_00286,5932,5085.904091,61,965,Music,March,USA,USD,2,Yes,45207,20,0
CID_00287,24628,25967.522,50,1678,Technology,October,Australia,USD,12,No,24042,10,1
CID_00288,81153,45310.65127,78,1383,Film,April,Australia,CAD,1,No,69650,24,0
CID_00289,71231,75741.42401,21,147,Technology,July,Canada,AUD,9,No,56473,25,1
CID_00290,56640,75848.78546,28,1021,Games,February,Australia,CAD,11,No,27253,30,1
CID_00291,55074,55422.57163,48,1592,Games,February,Canada,EUR,14,Yes,68362,22,1
CID_00292,85806,86766.38547,29,1810,Film,May,UK,EUR,9,Yes,68818,10,1
CID_00293,60832,36188.16154,45,654,Art,June,UK,CAD,8,Yes,69375,17,0
CID_00294,66487,77470.01549,78,1514,Technology,April,Australia,EUR,19,No,50808,20,1
CID_00295,28689,29429.91879,77,673,Film,December,Australia,EUR,4,Yes,84399,25,1
CID_00296,82581,42177.72061,52,568,Art,July,USA,EUR,14,No,18285,27,0
CID_00297,41429,39577.36073,36,467,Games,June,UK,EUR,7,Yes,80096,2,0
CID_00298,97669,116518.9245,30,743,Technology,July,Germany,EUR,10,No,10875,8,1
CID_00299,48215,46232.91091,62,1674,Music,May,Germany,AUD,5,Yes,19677,5,0
CID_00300,11167,15206.63699,22,461,Art,October,USA,GBP,19,Yes,4556,1,1
CID_00301,29632,17793.08719,56,1954,Music,January,UK,GBP,1,No,93590,18,0
CID_00302,85819,56912.40896,78,1929,Art,December,USA,USD,8,No,12602,34,0
CID_00303,76427,66772.92687,44,196,Art,October,USA,GBP,19,Yes,89333,7,0
CID_00304,7966,8580.228155,55,1093,Music,April,Canada,EUR,18,No,82846,32,1
CID_00305,86386,58711.38627,20,288,Games,February,Canada,USD,2,No,45085,49,0
CID_00306,45324,42646.7429,49,1389,Art,January,USA,AUD,6,No,12065,27,0
CID_00307,59778,64014.68409,88,1136,Music,December,UK,CAD,1,No,57446,3,1
CID_00308,88687,132161.9805,54,791,Art,October,Germany,EUR,8,Yes,70855,10,1
CID_00309,22898,25491.997,53,1349,Games,November,Australia,USD,0,No,70401,20,1
CID_00310,27337,36265.23243,41,701,Games,March,UK,USD,8,No,79824,21,1
CID_00311,98753,86176.14633,54,464,Art,September,Canada,GBP,12,Yes,25155,34,0
CID_00312,95592,95269.93921,77,193,Games,November,USA,GBP,0,Yes,61402,18,0
